ride_id,UTC,IMU A2
15693,2018-10-05 22:01:42.861000+00:00,500.0
15693,2018-10-05 22:01:42.993000+00:00,514.0
15693,2018-10-05 22:01:43.125000+00:00,562.0
15693,2018-10-05 22:01:43.257000+00:00,531.0
15693,2018-10-05 22:01:43.389000+00:00,517.0
15693,2018-10-05 22:01:43.521000+00:00,485.0
15693,2018-10-05 22:01:43.653000+00:00,484.0
15693,2018-10-05 22:01:43.785000+00:00,452.0
15693,2018-10-05 22:01:43.917000+00:00,472.0
15693,2018-10-05 22:01:44.049000+00:00,447.0
15693,2018-10-05 22:01:44.181000+00:00,466.0
15693,2018-10-05 22:01:44.313000+00:00,485.0
15693,2018-10-05 22:01:44.445000+00:00,488.0
15693,2018-10-05 22:01:44.577000+00:00,504.0
15693,2018-10-05 22:01:44.709000+00:00,544.0
15693,2018-10-05 22:01:44.841000+00:00,554.0
15693,2018-10-05 22:01:44.973000+00:00,502.0
15693,2018-10-05 22:01:45.105000+00:00,513.0
15693,2018-10-05 22:01:45.237000+00:00,535.0
15693,2018-10-05 22:01:45.369000+00:00,528.0
15693,2018-10-05 22:01:45.501000+00:00,509.0
15693,2018-10-05 22:01:45.633000+00:00,460.0
15693,2018-10-05 22:01:45.765000+00:00,455.0
15693,2018-10-05 22:01:45.897000+00:00,483.0
15693,2018-10-05 22:01:46.029000+00:00,461.0
15693,2018-10-05 22:01:46.161000+00:00,463.0
15693,2018-10-05 22:01:46.293000+00:00,471.0
15693,2018-10-05 22:01:46.425000+00:00,505.0
15693,2018-10-05 22:01:46.557000+00:00,515.0
15693,2018-10-05 22:01:46.689000+00:00,496.0
15693,2018-10-05 22:01:46.821000+00:00,499.0
15693,2018-10-05 22:01:46.953000+00:00,507.0
15693,2018-10-05 22:01:47.085000+00:00,534.0
15693,2018-10-05 22:01:47.217000+00:00,537.0
15693,2018-10-05 22:01:47.349000+00:00,538.0
15693,2018-10-05 22:01:47.481000+00:00,514.0
15693,2018-10-05 22:01:47.613000+00:00,494.0
15693,2018-10-05 22:01:47.745000+00:00,479.0
15693,2018-10-05 22:01:47.877000+00:00,492.0
15693,2018-10-05 22:01:48.009000+00:00,503.0
15693,2018-10-05 22:01:48.141000+00:00,485.0
15693,2018-10-05 22:01:48.273000+00:00,460.0
15693,2018-10-05 22:01:48.405000+00:00,446.0
15693,2018-10-05 22:01:48.537000+00:00,488.0
15693,2018-10-05 22:01:48.669000+00:00,475.0
15693,2018-10-05 22:01:48.801000+00:00,496.0
15693,2018-10-05 22:01:48.933000+00:00,516.0
15693,2018-10-05 22:01:49.065000+00:00,510.0
15693,2018-10-05 22:01:49.197000+00:00,552.0
15693,2018-10-05 22:01:49.329000+00:00,556.0
15693,2018-10-05 22:01:49.461000+00:00,521.0
15693,2018-10-05 22:01:49.593000+00:00,515.0
15693,2018-10-05 22:01:49.725000+00:00,502.0
15693,2018-10-05 22:01:49.857000+00:00,493.0
15693,2018-10-05 22:01:49.989000+00:00,488.0
15693,2018-10-05 22:01:50.121000+00:00,500.0
15693,2018-10-05 22:01:50.253000+00:00,485.0
15693,2018-10-05 22:01:50.385000+00:00,452.0
15693,2018-10-05 22:01:50.517000+00:00,436.0
15693,2018-10-05 22:01:50.649000+00:00,457.0
15693,2018-10-05 22:01:50.781000+00:00,459.0
15693,2018-10-05 22:01:50.913000+00:00,431.0
15693,2018-10-05 22:01:51.045000+00:00,433.0
15693,2018-10-05 22:01:51.177000+00:00,438.0
15693,2018-10-05 22:01:51.309000+00:00,503.0
15693,2018-10-05 22:01:51.441000+00:00,536.0
15693,2018-10-05 22:01:51.573000+00:00,531.0
15693,2018-10-05 22:01:51.705000+00:00,478.0
15693,2018-10-05 22:01:51.837000+00:00,499.0
15693,2018-10-05 22:01:51.969000+00:00,503.0
15693,2018-10-05 22:01:52.101000+00:00,540.0
15693,2018-10-05 22:01:52.233000+00:00,528.0
15693,2018-10-05 22:01:52.365000+00:00,501.0
15693,2018-10-05 22:01:52.497000+00:00,486.0
15693,2018-10-05 22:01:52.629000+00:00,494.0
15693,2018-10-05 22:01:52.761000+00:00,483.0
15693,2018-10-05 22:01:52.893000+00:00,437.0
15693,2018-10-05 22:01:53.025000+00:00,523.0
15693,2018-10-05 22:01:53.157000+00:00,516.0
15693,2018-10-05 22:01:53.289000+00:00,542.0
15693,2018-10-05 22:01:53.421000+00:00,556.0
15693,2018-10-05 22:01:53.553000+00:00,515.0
15693,2018-10-05 22:01:53.685000+00:00,487.0
15693,2018-10-05 22:01:53.817000+00:00,505.0
15693,2018-10-05 22:01:53.949000+00:00,520.0
15693,2018-10-05 22:01:54.081000+00:00,485.0
15693,2018-10-05 22:01:54.213000+00:00,483.0
15693,2018-10-05 22:01:54.345000+00:00,509.0
15693,2018-10-05 22:01:54.477000+00:00,496.0
15693,2018-10-05 22:01:54.609000+00:00,517.0
15693,2018-10-05 22:01:54.741000+00:00,503.0
15693,2018-10-05 22:01:54.873000+00:00,505.0
15693,2018-10-05 22:01:55.005000+00:00,518.0
15693,2018-10-05 22:01:55.137000+00:00,548.0
15693,2018-10-05 22:01:55.269000+00:00,504.0
15693,2018-10-05 22:01:55.401000+00:00,487.0
15693,2018-10-05 22:01:55.533000+00:00,480.0
15693,2018-10-05 22:01:55.665000+00:00,476.0
15693,2018-10-05 22:01:55.797000+00:00,480.0
15693,2018-10-05 22:01:55.929000+00:00,452.0
15693,2018-10-05 22:01:56.061000+00:00,457.0
15693,2018-10-05 22:01:56.193000+00:00,493.0
15693,2018-10-05 22:01:56.325000+00:00,505.0
